month,day,description,lamax,laeq,date,lamax_standardized,laeq_standardized
1,1,MP 03: Naamsestraat 62 Taste,51.66524189814815,49.99263657407407,01-01-2022,-0.24725143831524926,-0.19365472395374966
1,1,MP 05: Calvariekapel KU Leuven,48.747475636010094,46.50406722377833,01-01-2022,-1.0934282192188187,-1.245259867185446
1,1,MP 06: Parkstraat 2 La Filosovia,48.270004629629625,46.0072199074074,01-01-2022,-1.2318988309318195,-1.3950310601394393
1,1,MP 07: Naamsestraat 81,45.908501354198016,44.373056089261325,01-01-2022,-1.9167546624725171,-1.8876384597601115
1,2,MP 03: Naamsestraat 62 Taste,51.4072966493323,50.094017905745815,02-01-2022,-0.32205773213140526,-0.1630940215257906
1,2,MP 05: Calvariekapel KU Leuven,47.95905653165935,46.29793145782421,02-01-2022,-1.3220763972375489,-1.3073980705331814
1,2,MP 06: Parkstraat 2 La Filosovia,46.79485528312158,45.0855792728831,02-01-2022,-1.6597045608073542,-1.672853265793719
1,2,MP 07: Naamsestraat 81,45.84608756080612,44.65338545286078,02-01-2022,-1.9348551880223728,-1.8031351086843859
1,3,MP 03: Naamsestraat 62 Taste,53.21336936770102,51.830319795368,03-01-2022,0.2017185616513379,0.36030219451182705
1,3,MP 05: Calvariekapel KU Leuven,50.14753009259259,48.66018402777778,03-01-2022,-0.6874006396509608,-0.5953133438916218
1,3,MP 06: Parkstraat 2 La Filosovia,49.6336763156981,48.03521337052512,03-01-2022,-0.8364225611221842,-0.7837064333052166
1,3,MP 07: Naamsestraat 81,48.756939814814814,47.57414351851852,03-01-2022,-1.0906835276858493,-0.9226927566581166
1,4,MP 03: Naamsestraat 62 Taste,53.49949189814814,52.079018518518524,04-01-2022,0.2846965043671189,0.4352707074233095
1,4,MP 05: Calvariekapel KU Leuven,50.54143797960625,48.80547575782127,04-01-2022,-0.5731640360782325,-0.551516155061246
1,4,MP 06: Parkstraat 2 La Filosovia,49.79419791666667,48.186160879629625,04-01-2022,-0.7898699453984211,-0.7382043489281771
1,4,MP 07: Naamsestraat 81,49.582199074074076,48.295775462962965,04-01-2022,-0.8513513945837413,-0.7051617896347042
1,5,MP 03: Naamsestraat 62 Taste,52.90646180555555,51.50544328703703,05-01-2022,0.11271278475236339,0.26237041424005547
1,5,MP 05: Calvariekapel KU Leuven,49.648748842592596,48.14356018518519,05-01-2022,-0.8320514014260938,-0.7510460341247793
1,5,MP 06: Parkstraat 2 La Filosovia,49.25216435185185,47.535864583333336,05-01-2022,-0.9470642426141948,-0.9342316773663313
1,5,MP 07: Naamsestraat 81,48.06493865740741,46.746553240740745,05-01-2022,-1.2913696893413968,-1.172164131657692
1,6,MP 03: Naamsestraat 62 Taste,54.079946527158874,52.71082535677496,06-01-2022,0.45303323366940446,0.6257245163989291
1,6,MP 05: Calvariekapel KU Leuven,49.81469924420422,48.175055266843366,06-01-2022,-0.7839243878103834,-0.7415520592220202
1,6,MP 06: Parkstraat 2 La Filosovia,49.207559027777776,47.44976041666666,06-01-2022,-0.9600001621311011,-0.9601871838872711
1,6,MP 07: Naamsestraat 81,48.20806490815866,46.92855588606349,06-01-2022,-1.2498618716333585,-1.1173006908930847
1,7,MP 03: Naamsestraat 62 Taste,53.82398920896628,52.44381599666543,07-01-2022,0.3788034564705239,0.5452363884050322
1,7,MP 05: Calvariekapel KU Leuven,51.21043658418019,49.51405472348897,07-01-2022,-0.3791488084045335,-0.3379199183635929
1,7,MP 06: Parkstraat 2 La Filosovia,50.457028935185186,48.75929976851852,07-01-2022,-0.5976433696061433,-0.5654355882066615
1,7,MP 07: Naamsestraat 81,49.753456637229604,48.48692808944548,07-01-2022,-0.8016852594389249,-0.6475401502270723
1,8,MP 03: Naamsestraat 62 Taste,53.05715972768953,51.66026258509702,08-01-2022,0.15641645090783743,0.3090396226643069
1,8,MP 05: Calvariekapel KU Leuven,50.322100694444444,48.61641203703704,08-01-2022,-0.6367736953914992,-0.6085081082693329
1,8,MP 06: Parkstraat 2 La Filosovia,49.690703703703704,47.88179861111111,08-01-2022,-0.8198841384828862,-0.8299522532525115
1,8,MP 07: Naamsestraat 81,48.46135532407408,47.31840509259259,08-01-2022,-1.176405518547701,-0.9997833393644296
1,9,MP 03: Naamsestraat 62 Taste,52.15087642063557,50.71692829917629,09-01-2022,-0.1064133382020059,0.024678015584044456
1,9,MP 05: Calvariekapel KU Leuven,48.685593749999995,46.90431712962963,09-01-2022,-1.1113744871497861,-1.1246072966594935
1,9,MP 06: Parkstraat 2 La Filosovia,47.71953147605875,45.9360027315131,09-01-2022,-1.3915406799403542,-1.4164989860817854
1,9,MP 07: Naamsestraat 81,46.89307175925926,45.54579282407408,09-01-2022,-1.6312209558358668,-1.5341250684092165
1,10,MP 03: Naamsestraat 62 Taste,52.810841783581054,51.38917789507802,10-01-2022,0.08498217334793276,0.22732301460800275
1,10,MP 05: Calvariekapel KU Leuven,49.92377397363334,48.11617880250472,10-01-2022,-0.7522917979679653,-0.7592999628744352
1,10,MP 06: Parkstraat 2 La Filosovia,49.58696844834372,47.80659043033403,10-01-2022,-0.8499682358918408,-0.852623240060203
1,10,MP 07: Naamsestraat 81,48.10083796296296,46.892212962962965,10-01-2022,-1.2809585884914572,-1.1282560141259017
1,11,MP 03: Naamsestraat 62 Taste,53.23357203276903,51.824553597293196,11-01-2022,0.2075775046087484,0.3585640139158642
1,11,MP 05: Calvariekapel KU Leuven,50.684709490740744,48.94465046296296,11-01-2022,-0.5316140916360964,-0.5095629011514877
